  , According,
 According , to,
I say , Theres,I,Mr,Say,
I see , I,All,you,from,
I sense , it,
I should , Barry,
I shouldnt , Have,
I sit , What,
I start , it,
I suppose , so,
I sure , When,
I take , a,
I think , about,he,it,the,something,wed,we,so,this,we,Im,
I thought , it,you,we,their,maybe,
I told , you,you,
I took , a,
I tried , to,
I try , not,
I understand , doesnt,
I usually , sit,
I want , to,to,to,
I wanted , to,to,to,
I was , raised,with,just,thinking,excited,already,dying,
I will , see,have,
I wish , hed,
I wonder , where,
I would , love,have,
Id be , up,better,
Id catch , yall,
Id do , you,
Id knock , him,
Id like , to,
Id make , it,
If I , did,
If anybody , needs,
If anyones , feeling,
If we , didnt,lived,
If were , gonna,
If you , dont,do,
Ignacio Where , is,
Ill ask , you,
Ill bet , What,
Ill catch , up,
Ill ever , have,
Ill go , home,
Ill leave , now,
Ill pick , you,
Ill pierce , my,
Ill see , you,
Ill sting , you,
Ill try , that,
Im Bob , Bumble,
Im Jeanette , Ohung,
Im OK , You,
Im Oarl , Kasell,
Im a , kid,florist,florist,Pollen,
Im afraid , Im,
Im aiming , at,
Im allergic , to,
Im an , attorney,
Im doing , this,
Im done , with,
Im dreaming , But,
Im driving , Hi,
Im excited , Heres,
Im feeling , a,something,
Im from , wed,
Im getting , to,to,the,
Im glad , I,You,
Im going , out,to,to,to,to,to,
Im gonna , get,guess,
Im grateful , Ill,
Im helping , him,
Im hit , Oh,
Im home , without,
Im hoping , that,
Im in , a,
Im just , saying,an,
Im kidding , Yes,
Im late , Hes,
Im loving , this,
Im meeting , a,
Im not , going,trying,scared,supposed,attracted,listening,gonna,much,yelling,making,
Im out , I,So,
Im panicking , I,
Im picking , up,
Im quite , familiar,
Im relieved , Now,
Im right , off,
Im so , proud,sorry,
Im sorry , the,Youre,about,I,I,Have,Im,everyone,
Im sure , this,
Im talking , about,with,to,to,
Im the , pea,
Im trying , to,
Im wearing , a,
In tennis , you,
In the , face,
Industries Will , we,
Industry is , now,
Instead of , flowers,
Is he , that,
Is it , still,
Is that , fuzz,your,a,that,a,another,
Is there , much,
Is this , why,what,
Isnt John , Travolta,
Isnt that , the,
It all , depends,
It comes , from,
It doesnt , last,matter,
It felt , like,
It goes , under,
It is , Its,beeapproved,
It looks , like,
It must , be,
It smells , good,
It takes , two,
It was , amazing,the,so,my,all,a,
Italian Vogue , Ill,Mamma,
Its OK , Lou,
Its a , beautiful,little,little,bee,horrible,bug,close,common,bee,
Its all , cloudy,
Its amazing , Honey,
Its an , allergic,incredible,
Its been , three,
Its bread , and,
Its exhausting , Why,
Its fantastic , Its,
Its faster , Yeah,
Its fine , I,
Its got , a,all,to,giant,
Its important , to,
Its just , a,how,coffee,honey,
Its like , putting,
Its no , trouble,
Its not , over,a,
Its notjust , flowers,
Its organic , Its,
Its ourganic , Its,
Its ours , now,
Its part , of,
Its pretty , big,
Its real , Sorry,
Its strong , pulling,
Its the , greatest,last,
Its their , way,
Its time , to,
Its usually , fatal,
Its very , hard,
Its what , he,
Its wings , are,
Its your , only,
Ive got , to,a,one,issues,
Ive gotta , go,go,
Ive just , about,
Ive made , it,
Ive met , in,
Ive never , seen,
Ive ruined , the,
Ive seen , a,
JFK Airport , where,
JFK control , tower,
JGate What , do,
Janet your , sons,
Jeanette Ohung , Good,A,
JellO We , get,
Jewish In , tennis,
Jock And , its,
Jock Yeah , Once,
Jock You , have,
Jocks Hi , Jocks,
Jocks They , do,
Jocks Wow , Ive,
Jocks You , guys,
Jocks bring , the,
John Travolta , a,
Judge Bumbleton , presiding,
Jump on , Its,
Just a , row,minute,
Just drop , it,
Just having , two,some,
Just initial , that,
Just keep , still,
Just leave , it,
Just one , I,
Just what , Bees,
Kasell But , dont,
Keep your , hands,
Ken And , for,
Ken Barry , was,
Ken Hello , I,
Ken I , let,
Ken Im , wearing,
Ken Shes , Honey,
Ken Yeah , I,
Ken You , know,
Ken and , me,
Ken could , you,you,
Kenneth What , are,
Kenny When , will,
Keychain Hold , on,
Keychain Then , follow,
King in , the,
King well , have,
Klauss Vanderhayden , of,
Knocking someone , out,
Korean deli , on,
Krelman Of , course,
Krelman Sure , youre,
Krelman What , does,
Krelman just , closed,
Krelman opened , up,
Krelman thing , Its,
Ladies and , gentlemen,gentlemen,gentlemen,
Ladies out , this,
Land on , that,
Larry King , well,in,
Larvi And , Jeanette,
Lauren and , I,
Laying out , sleeping,
Layton T , Montgomery,
Layton youve , gotta,
Leader We , have,
Left right , down,
Let it , go,all,
Lets have , fun,
Lets just , stop,
Lets open , some,
Lets see , what,
Lets shake , it,
Like a , millionyearold,
Like tiny , screaming,
Like what , Give,I,Like,
Liotta Private , Select,
Liotta first , belated,
Liotta please , sit,
Listen Barry , sorry,
Listen everyone , This,
Listen to , me,me,
Listen you , better,
Living out , our,
Long time , What,
Look Thats , more,
Look at , these,that,that,me,us,what,
Look theres , a,
Looking sharp , Use,
Looks good , Hear,
Lou Were , gonna,
Luckily he , was,
M Sumner , Thats,
Ma I , got,
Madison He , finally,
Make it , one,
Make out , Barry,
Make your , choice,
Makes an , opening,
Making honey , takes,
Mall magazine , Id,
Mama Dada , honey,
Mamas little , boy,
Mamma mia , thats,
Manhattan where , the,
Martin would , you,
Match point , You,
Maybe I , am,
Maybe Ill , pierce,try,
Maybe a , dash,
Maybe not , Oould,
Maybe thats , a,
Maybe this , time,could,
Mayday Bee , going,
Mayday Mayday , Bee,
Me Hold , it,
Me neither , Tournament,
Meadow Yes , Im,
Mighty Hercules , is,
Milk cream , cheese,
Miss Vanessa , Bloome,
Mission abort , Aborting,
Mom The , bees,
Montgomery Hey , buddy,
Montgomery is , about,
Montgomery your , opening,
Montgomery youre , representing,
Montgomerys motion , But,
Montgomerys right , What,
Moose blood , crazy,guy,
Mooseblood I , knew,
Moosebloods about , to,
More humans , I,
More pollen , more,
More than , we,
Mosquito girl , dont,
Mosquito girls , try,
Most bee , jobs,
Move it , out,
Move out , Our,
Mr Barry , Benson,
Mr Benson , youre,imagines,Ladies,Bee,and,
Mr Buzzwell , we,
Mr Flayman , Yes,Im,
Mr Gordon , M,
Mr Klauss , Vanderhayden,
Mr Liotta , first,please,
Mr Montgomery , youre,your,is,
Mr Montgomerys , motion,
Mr Sting , thank,Because,
Ms Oneeighth , a,
Murphys in , a,
Museum of , Natural,
My brochure , There,
My entire , species,
My mosquito , associate,
My nerves , are,
My only , interest,
My parents , wanted,
My sweater , is,
My sweet , lord,
My whole , face,
N Save , circular,
NPR News , in,
Nah I , dont,
Nah What , would,
Natural History , keychains,
Nectar Force , on,
Nectar pack , check,
Never thought , Id,
New Hive , Oity,
New York , Barry,It,Wheres,
News in , Washington,
Next week , He,Glasses,
Nice brooch , Thank,
Ninety puffs , a,
No All , right,
No And , whose,
No Because , you,
No Do , it,
No Hes , making,
No I , cant,couldnt,havent,was,
No Im , not,
No Its , bread,
No No , Because,ones,
No Up , the,
No Yes , No,
No but , there,
No highfive , Right,
No its , OK,
No more , bee,
No no , no,Thats,
No nothing , Its,
No ones , listening,flying,
No problem , Vannie,
No sir , I,
No thats , no,
No way , I,
No wonder , we,
No you , go,havent,
Nobody likes , us,
Nobody move , If,
Nobody works , harder,
Nose down , Tail,
Not as , much,
Not enough , Here,
Not good , Does,
Not in , this,
Not like , a,
Not only , that,
Not taking , sides,
Not that , flower,
Not us , man,
Not yet , it,
Nothing Bee , Dont,
Nothing worse , than,
Now I , cant,
Now drop , it,
Now we , only,wont,
Now you , can,
OK Barry , And,
OK Dave , pull,
OK I , see,made,
OK Its , fine,
OK Lou , Were,
OK Out , the,
OK Yeah , What,It,
OK You , got,know,
OK for , the,
OK ladies , lets,
OK thats , enough,
Oalifornia Theyve , got,
Oall your , first,
Oan I , get,take,get,help,help,
Oan anyone , work,
Oan we , stop,
Oan you , believe,believe,No,
Oandybrain get , off,
Oannonball Were , shutting,
Oant breathe , Bring,
Oant fly , in,in,in,
Oaptain Im , in,
Oaptain Scott , We,
Oareful guys , Its,
Oarl Kasell , But,
Oarl was , on,
Oase number , Superior,
Oatches that , little,
Objection Im , going,
Of course , Most,Im,I,
Official floral , business,
Oh Barry , stop,Yes,Good,
Oh I , cant,
Oh Im , hit,
Oh boy , Shes,
Oh great , Vanessa,
Oh lordy , I,
Oh my , I,Whats,Dumb,goodness,Whats,Oould,Theyre,
Oh no , I,More,Youre,A,Theres,Oh,
Oh please , Have,
Oh sweet , Thats,
Oh that , That,was,
Oh this , is,
Oh those , just,
Oh well , Are,
Oh yeah , Fine,Whats,Thats,
Ohapstick hat , This,
Oheck it , out,
Oheck out , my,the,
Ohemicaly Oareful , guys,
Ohung A , tricounty,
Ohung Good , evening,
Oinnabon is , No,
Oity graduating , class,
Olassy Ladies , out,
Oloning For , all,
Once a , bear,
Once at , the,
Once inside , we,
One at , a,
One job , forever,
One of , thems,these,
Oneeighth a , stick,
Ones bald , ones,
Only to , losing,losing,
Ooffee I , dont,
Ooh black , and,
Oolumbus Bee , Gandhi,
Oome on , All,No,Im,its,You,already,
Ooming Hang , on,
Ooming in , at,
Oongratulations Step , to,
Oongratulations on , your,
Oool Im , picking,
Oopy that , visual,
Oould be , daisies,
Oould you , get,ask,slow,
Oouple of , Hive,newbies,
Oourt of , New,
Open your , eyes,
Or not , OK,
Or should , I,
Orazy person , What,
Order I , say,
Order Order , I,The,please,
Order The , venom,
Order in , this,
Order please , The,
Our first , day,
Our honey , is,
Our new , queen,
Our only , chance,
Our queen , was,
Our son , the,
Our topsecret , formula,
Out Out , where,
Out the , engines,
Out there , Oh,
Out where , Out,
Oute Bee , Golden,
Outside the , hive,
Ow Thats , me,
Park Pollen , Flowers,
Pasadena Oalifornia , Theyve,
Pasadena Theyve , moved,
Pasadena To , be,
Pea I , could,
Perhaps Unless , youre,
Pic N , Save,
Picking crud , out,
Pinhead Oheck , out,
Please clear , the,
Police But , youve,
Pollen Flowers , Repollination,
Pollen Jock , You,Yeah,And,
Pollen Jocks , bring,Wow,They,
Pollen counting , stunt,
Pond No , way,
Poo water , That,
Poodle You , did,
Pound those , petunias,
Princess and , the,
Private Select , Is,
Problem Guys , This,
Pull forward , Nose,
Put that , on,
Quiet please , Actual,
Ralph Lauren , and,
Ray Liotta , Private,
Ready Full , reverse,
Ready boys , Affirmative,
Really Feeling , lucky,
Really My , only,
Remember what , Van,
Remove your , stinger,
Repollination Across , the,
Restroom attendants , open,
Returning to , base,
Right Barry , it,
Right Bees , dont,
Right Bye , Vanessa,
Right Look , Thats,
Right Well , heres,
Right Youre , right,
Right right , Listen,
Right there , Ken,
Robotics Ventriloquism , Oloning,
Roses Barry , Roses,
Roses Pasadena , Oalifornia,
Roses Roses , cant,Roses,Vanessa,
Roses Vanessa , Roses,
Roses are , flowers,
Roses cant , do,
Roses degrees , roger,
Roses parade , in,
Roses thats , every,
Rotate around , it,
Royal Nectar , Force,
SAT test , right,
Same way , you,
San Antonio , Those,with,
Save circular , Yeah,
Saves us , millions,
Say again , Youre,
Say it , Mr,
Scared out , of,
Scott We , have,
Security You , and,
Security will , be,
See Hes , dead,
See a , mosquito,
See it , Youre,
See that , Its,
Select Is , he,
Seventyfive is , pretty,
Shack up , with,
Shave my , antennae,
She is , Yes,
She saved , my,my,
Sheep Meadow , Yes,
Shes Honey , her,
Shes human , No,
Shes my , cousin,
Shes so , nice,
Should we , tell,
Show me , the,
Shut down , Weve,honey,
Sign here , here,
Sit down , really,
Six miles , huh,
Sky Mall , magazine,
Smell it , Full,
Smoker Ninety , puffs,
Smoking or , non,
So I , hear,
So Mr , Klauss,Sting,
So be , careful,
So blue , I,
So if , theres,
So it , turns,
So long , bee,
So nice , Oall,
So those , arent,
So what , are,
So who , is,
So why , are,
So you , have,can,
So youll , just,
Some of , them,
Sometimes I , think,just,
Son let , me,
Sorry I , couldnt,
Sorry Im , excited,OK,late,
Sorry Ive , gotta,
Sorry maam , Nice,
Sounds amazing , It,
Speak you , fool,
Special day , graduation,
Specifically me , I,
Spider Im , not,
Spin it , around,
Spitting out , your,
Sports with , Buzz,
Spray him , Granny,
Stall any , way,
Stand back , These,
Stand by , Were,
Stand to , the,
Star Wars , Nah,
Stellar Wow , Oouple,
Step to , the,
Stick your , head,
Sting Because , Im,
Sting Or , should,
Sting thank , you,
Sting them , where,
Stinger Sports , with,
Stinger check , Scared,
Stingings the , only,
Stop Bee , Stand,
Stop Security , You,
Stop making , honey,
Stop yearning , Listen,
Storm Stinger , Sports,
Students faculty , distinguished,
Such a , hothead,
Sumner Thats , not,
Superior Oourt , of,
Supposed to , be,
Sure Here , have,
Sure Ken , You,
Sure My , parents,
Sure is , Between,
Sure youre , on,
Surfs up , dude,
T Montgomery , Hey,
TV Some , of,
TV Thats , insane,
Tacoma And , you,
Tail up , Rotate,
Take away , produce,
Take him , away,out,
Take ten , everybody,
Talking bee , How,
Talking bees , no,
Talking to , humans,
Tap it , Mr,
Technically a , bee,
Tell me , where,
Thank you , OK,Thank,I,It,But,Barry,
Thanks Vanessa , next,
Thanks Yeah , All,
Thanks for , the,
That bee , is,
That blew , my,
That bowl , is,
That concludes , our,
That doesnt , sound,
That flower , Im,
That girl , was,
That is , one,diabolical,not,
That may , have,
That means , this,
That was , on,a,nothing,genius,
That would , hurt,
Thatjust kills , you,
Thats Barry , is,
Thats a , bad,bee,man,drag,rumor,conspiracy,killer,fat,
Thats amazing , Why,
Thats an , insane,
Thats awful , And,
Thats insane , You,
Thats it , Thats,Land,
Thats just , what,
Thats life , Oh,
Thats me , Wave,
Thats more , pollen,
Thats not , his,
Thats our , case,whole,Barry,
Thats pollen , power,
Thats the , kind,one,bee,
Thats very , funny,
Thats what , falls,
Thats where , I,
Thats why , we,this,I,
The Honorable , Judge,
The Krelman , opened,
The Police , But,
The Pollen , Jocks,
The Princess , and,
The Thomas , Smoker,
The balls , a,
The bee , of,community,
The bees , I,are,
The case , of,
The court , finds,
The eye , That,
The human , species,
The last , thing,
The only , thing,
The other , one,
The pea , It,
The same , job,
The smoke , Bees,
The surface , area,
The talking , thing,
The venom , The,is,
The way , we,
The wedding , is,
Their days , not,
Their wings , are,
Then all , we,
Then follow , me,
Then if , were,
Then we , want,
Then why , yell,
There he , is,
There was , a,
There you , go,
Theres a , bee,little,bee,
Theres heating , cooling,
Theres hundreds , of,
Theres my , hive,
Theres no , yearning,
Theres only , one,
Theres the , sun,
Theres us , and,
These are , winter,obviously,
These bees , are,
These faces , they,
These stripes , dont,
They are , pinheads,
They call , it,
They could , be,
They do , get,
They dont , know,
They drive , crazy,
They eat , crazy,
They got , it,
They have , a,presented,
They heat , it,
They just , smack,
They know , what,
They make , the,the,
They put , it,
They talk , crazy,
They will , wipe,
Theyll never , make,
Theyre all , wilting,
Theyre doing , nothing,
Theyre home , They,
Theyre out , of,
Theyre scary , hairy,
Theyre striped , savages,
Theyre very , lovable,
Theyve done , enough,
Theyve got , nothing,
Theyve moved , it,
Thinking bee , Thinking,Thinking,Thinking,Thinking,Thinking,Thinking,There,Thinking,Thinking,Thinking,Thinking,Wait,Thinking,Thinking,What,Thinking,Thinking,Vanessa,Me,
This Drapes , That,
This What , happened,
This cant , possibly,
This could , be,
This couldnt , hurt,
This harmless , little,
This is , it,Blue,the,a,over,not,stealing,all,your,worse,Ken,a,pathetic,an,a,your,JFK,Vanessa,Bob,insane,
This isnt , a,so,
This lawsuits , a,
This runway , is,
This thing , could,
This time , This,This,This,This,
This was , my,my,
This whole , parade,
Thiss the , only,
Thomas Smoker , Ninety,
Those are , great,
Those crazy , legs,
Those ladies , Arent,
Those were , awkward,
Three days , grade,college,
TiVo You , can,
Timberland size , ten,
To Honey , Farms,
To a , great,
To be , in,forcibly,
To the , final,
To us , to,
Todays the , day,
Tomorrow night , on,
Tonight were , talking,
Tournament of , Roses,Roses,Roses,Roses,
Travolta a , pilot,
Triple blade , Triple,Jump,
Trying to , alert,
Turn off , the,
Turn your , key,
Turtle Pond , No,
Twice the , nicotine,
Two left , One,
Two more , dead,
Uhoh What , is,
Uncle Oarl , was,
Unfortunately there , are,
Unless youre , wearing,
Up on , a,
Up the , nose,
Use the , stairs,
Van said , why,
Vanderhayden of , Honey,
Vanessa Bloome , FTD,in,Im,
Vanessa I , just,
Vanessa Oh , boy,
Vanessa Roses , Barry,
Vanessa Thanks , Vanessa,
Vanessa Vanessa , Why,
Vanessa Were , still,
Vanessa Why , are,
Vanessa aim , for,
Vanessa next , week,
Vanessa pull , yourself,
Vanessa this , is,
Vanessa we , won,
Vannie Just , leave,
Ventriloquism Oloning , For,
Very carefully , You,
Very close , Gonna,
Very proud , Ma,
Vibram sole , I,
Vogue Ill , bet,
Vogue Mamma , mia,
Wait Barry , Were,
Wait Dont , kill,
Wait How , did,
Wait I , think,
Wait One , of,
Wait Stop , Bee,
Wait a , second,minute,minute,minute,minute,
Wait for , my,
Wait till , you,
Wars Nah , I,
Was she , Beeish,
Washington Im , Oarl,
Watch it , Benson,
Watch this , Vanessa,
Water bug , Not,
